"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-01","2020","01","01","","1.0","","-1.2","","-0.1","","18.1","","0.0","","","","","","0.2","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-02","2020","01","02","","6.2","","0.9","","3.6","","14.4","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-03","2020","01","03","","7.7","","3.6","","5.7","","12.3","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-04","2020","01","04","","3.6","","0.3","","2.0","","16.0","","0.0","","","","","","1.5","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-05","2020","01","05","","1.9","","-1.2","","0.3","","17.7","","0.0","","","","","","5.6","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-06","2020","01","06","","2.9","","-1.7","","0.6","","17.4","","0.0","","","","","","0.2","","7","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-07","2020","01","07","","3.9","","-3.0","","0.4","","17.6","","0.0","","","","","","0.0","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-08","2020","01","08","","0.7","","-7.9","","-3.6","","21.6","","0.0","","","","","","1.6","","5","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-09","2020","01","09","","3.4","","-9.8","","-3.2","","21.2","","0.0","","","","","","0.0","","3","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-10","2020","01","10","","7.6","","3.3","","5.4","","12.6","","0.0","","","","","","1.1","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-11","2020","01","11","","11.8","","2.2","","7.0","","11.0","","0.0","","","","","","55.3","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-12","2020","01","12","","2.2","","-5.2","","-1.5","","19.5","","0.0","","","","","","12.8","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-13","2020","01","13","","2.5","","-4.5","","-1.0","","19.0","","0.0","","","","","","0.0","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-14","2020","01","14","","","M","","M","","M","","M","","M","","","","","","M","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-15","2020","01","15","","4.7","","2.4","","3.6","","14.4","","0.0","","","","","","0.0","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-16","2020","01","16","","2.5","","-10.4","","-3.9","","21.9","","0.0","","","","","","0.0","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-17","2020","01","17","","-6.9","","-13.6","","-10.2","","28.2","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-18","2020","01","18","","2.6","","-7.6","","-2.5","","20.5","","0.0","","","","","","16.1","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-19","2020","01","19","","1.3","","-10.4","","-4.5","","22.5","","0.0","","","","","","0.3","","14","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-20","2020","01","20","","-4.5","","-13.2","","-8.9","","26.9","","0.0","","","","","","0.6","","14","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-21","2020","01","21","","-1.7","","-7.7","","-4.7","","22.7","","0.0","","","","","","0.0","","14","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-22","2020","01","22","","1.4","","-5.3","","-2.0","","20.0","","0.0","","","","","","0.0","","13","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-23","2020","01","23","","3.5","","-2.5","","0.5","","17.5","","0.0","","","","","","0.5","","13","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-24","2020","01","24","","3.6","","1.2","","2.4","","15.6","","0.0","","","","","","20.9","","12","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-25","2020","01","25","","3.9","","2.1","","3.0","","15.0","","0.0","","","","","","7.9","","5","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-26","2020","01","26","","4.0","","1.4","","2.7","","15.3","","0.0","","","","","","1.3","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-27","2020","01","27","","2.2","","0.8","","1.5","","16.5","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-28","2020","01","28","","2.5","","-1.2","","0.7","","17.3","","0.0","","","","","","0.4","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-29","2020","01","29","","-1.0","","-6.6","","-3.8","","21.8","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-30","2020","01","30","","-1.3","","-5.3","","-3.3","","21.3","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-01-31","2020","01","31","","0.3","","-2.7","","-1.2","","19.2","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-01","2020","02","01","","1.3","","-2.0","","-0.4","","18.4","","0.0","","","","","","2.1","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-02","2020","02","02","","2.5","","-0.1","","1.2","","16.8","","0.0","","","","","","6.1","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-03","2020","02","03","","6.4","","2.2","","4.3","","13.7","","0.0","","","","","","0.5","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-04","2020","02","04","","3.2","","-3.7","","-0.2","","18.2","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-05","2020","02","05","","-2.3","","-7.0","","-4.6","","22.6","","0.0","","","","","","1.1","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-06","2020","02","06","","-2.3","","-4.6","","-3.4","","21.4","","0.0","","","","","","7.7","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-07","2020","02","07","","-3.4","","-7.6","","-5.5","","23.5","","0.0","","","","","","1.4","","8","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-08","2020","02","08","","-6.1","","-13.4","","-9.8","","27.8","","0.0","","","","","","1.1","","8","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-09","2020","02","09","","2.1","","-7.9","","-2.9","","20.9","","0.0","","","","","","5.8","","7","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-10","2020","02","10","","4.2","","1.0","","2.6","","15.4","","0.0","","","","","","1.2","","8","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-11","2020","02","11","","3.8","","-0.9","","1.5","","16.5","","0.0","","","","","","0.0","","6","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-12","2020","02","12","","2.0","","-2.4","","-0.2","","18.2","","0.0","","","","","","0.9","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-13","2020","02","13","","0.8","","-15.4","","-7.3","","25.3","","0.0","","","","","","2.4","","6","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-14","2020","02","14","","-7.8","","-19.1","","-13.4","","31.4","","0.0","","","","","","0.6","","5","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-15","2020","02","15","","1.1","","-8.7","","-3.8","","21.8","","0.0","","","","","","0.4","","5","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-16","2020","02","16","","4.3","","-1.5","","1.4","","16.6","","0.0","","","","","","0.4","","5","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-17","2020","02","17","","0.1","","-4.2","","-2.0","","20.0","","0.0","","","","","","1.0","","3","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-18","2020","02","18","","6.1","","-0.6","","2.8","","15.2","","0.0","","","","","","8.6","","9","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-19","2020","02","19","","0.3","","-5.7","","-2.7","","20.7","","0.0","","","","","","0.0","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-20","2020","02","20","","-4.0","","-9.1","","-6.5","","24.5","","0.0","","","","","","1.0","","3","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-21","2020","02","21","","1.0","","-9.1","","-4.1","","22.1","","0.0","","","","","","0.2","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-22","2020","02","22","","5.5","","-3.2","","1.1","","16.9","","0.0","","","","","","0.2","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-23","2020","02","23","","7.5","","1.7","","4.6","","13.4","","0.0","","","","","","0.8","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-24","2020","02","24","","9.4","","2.2","","5.8","","12.2","","0.0","","","","","","1.1","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-25","2020","02","25","","5.6","","1.7","","3.7","","14.3","","0.0","","","","","","0.2","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-26","2020","02","26","","4.1","","-3.2","","0.4","","17.6","","0.0","","","","","","11.8","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-27","2020","02","27","","-2.7","","-5.3","","-4.0","","22.0","","0.0","","","","","","3.1","","13","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-28","2020","02","28","","-2.5","","-9.4","","-5.9","","23.9","","0.0","","","","","","1.1","","8","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-02-29","2020","02","29","","-3.2","","-12.8","","-8.0","","26.0","","0.0","","","","","","1.2","","7","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-01","2020","03","01","","4.5","","-7.7","","-1.6","","19.6","","0.0","","","","","","0.7","","6","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-02","2020","03","02","","7.1","","2.4","","4.7","","13.3","","0.0","","","","","","2.1","","3","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-03","2020","03","03","","4.8","","2.7","","3.8","","14.2","","0.0","","","","","","9.9","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-04","2020","03","04","","7.7","","1.9","","4.8","","13.2","","0.0","","","","","","0.4","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-05","2020","03","05","","5.2","","-0.9","","2.2","","15.8","","0.0","","","","","","1.1","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-06","2020","03","06","","3.7","","-0.8","","1.4","","16.6","","0.0","","","","","","1.2","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-07","2020","03","07","","3.6","","-5.4","","-0.9","","18.9","","0.0","","","","","","1.1","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-08","2020","03","08","","10.6","","1.2","","5.9","","12.1","","0.0","","","","","","0.5","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-09","2020","03","09","","17.2","","7.5","","12.4","","5.6","","0.0","","","","","","0.2","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-10","2020","03","10","","11.5","","-0.4","","5.6","","12.4","","0.0","","","","","","3.4","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-11","2020","03","11","","3.8","","-0.9","","1.5","","16.5","","0.0","","","","","","0.2","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-12","2020","03","12","","6.3","","0.6","","3.4","","14.6","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-13","2020","03","13","","8.9","","2.6","","5.8","","12.2","","0.0","","","","","","6.2","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-14","2020","03","14","","4.7","","-0.1","","2.3","","15.7","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-15","2020","03","15","","4.2","","-2.4","","0.9","","17.1","","0.0","","","","","","0.8","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-16","2020","03","16","","3.5","","-1.7","","0.9","","17.1","","0.0","","","","","","1.5","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-17","2020","03","17","","9.0","","0.7","","4.9","","13.1","","0.0","","","","","","0.4","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-18","2020","03","18","","4.5","","-0.7","","1.9","","16.1","","0.0","","","","","","2.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-19","2020","03","19","","6.7","","2.9","","4.8","","13.2","","0.0","","","","","","2.3","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-20","2020","03","20","","15.5","","-3.6","","5.9","","12.1","","0.0","","","","","","4.6","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-21","2020","03","21","","1.8","","-7.7","","-2.9","","20.9","","0.0","","","","","","0.9","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-22","2020","03","22","","2.2","","-4.7","","-1.2","","19.2","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-23","2020","03","23","","3.9","","0.4","","2.2","","15.8","","0.0","","","","","","12.1","","3","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-24","2020","03","24","","5.2","","1.3","","3.3","","14.7","","0.0","","","","","","0.2","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-25","2020","03","25","","8.7","","2.6","","5.7","","12.3","","0.0","","","","","","1.0","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-26","2020","03","26","","14.2","","3.7","","8.9","","9.1","","0.0","","","","","","0.9","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-27","2020","03","27","","9.3","","2.6","","5.9","","12.1","","0.0","","","","","","0.9","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-28","2020","03","28","","7.2","","3.8","","5.5","","12.5","","0.0","","","","","","1.1","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-29","2020","03","29","","18.4","","4.9","","11.7","","6.3","","0.0","","","","","","11.3","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-30","2020","03","30","","9.7","","5.6","","7.6","","10.4","","0.0","","","","","","2.5","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-03-31","2020","03","31","","6.3","","4.4","","5.4","","12.6","","0.0","","","","","","0.3","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-01","2020","04","01","","9.4","","2.7","","6.1","","11.9","","0.0","","","","","","0.6","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-02","2020","04","02","","14.1","","3.5","","8.8","","9.2","","0.0","","","","","","1.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-03","2020","04","03","","12.1","","2.9","","7.5","","10.5","","0.0","","","","","","1.4","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-04","2020","04","04","","10.9","","7.1","","9.0","","9.0","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-05","2020","04","05","","11.2","","3.6","","7.4","","10.6","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-06","2020","04","06","","12.8","","1.6","","7.2","","10.8","","0.0","","","","","","1.5","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-07","2020","04","07","","13.6","","5.4","","9.5","","8.5","","0.0","","","","","","6.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-08","2020","04","08","","14.7","","6.2","","10.4","","7.6","","0.0","","","","","","0.5","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-09","2020","04","09","","10.1","","2.1","","6.1","","11.9","","0.0","","","","","","8.8","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-10","2020","04","10","","8.1","","1.0","","4.5","","13.5","","0.0","","","","","","0.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-11","2020","04","11","","9.7","","0.0","","4.8","","13.2","","0.0","","","","","","1.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-12","2020","04","12","","13.0","","5.0","","9.0","","9.0","","0.0","","","","","","0.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-13","2020","04","13","","14.6","","3.5","","9.1","","8.9","","0.0","","","","","","14.8","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-14","2020","04","14","","7.8","","0.2","","4.0","","14.0","","0.0","","","","","","0.8","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-15","2020","04","15","","5.3","","-1.4","","2.0","","16.0","","0.0","","","","","","1.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-16","2020","04","16","","5.2","","-2.1","","1.6","","16.4","","0.0","","","","","","0.7","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-17","2020","04","17","","5.9","","-0.9","","2.5","","15.5","","0.0","","","","","","0.9","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-18","2020","04","18","","10.9","","-0.9","","5.0","","13.0","","0.0","","","","","","1.4","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-19","2020","04","19","","13.5","","0.2","","6.8","","11.2","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-20","2020","04","20","","6.4","","-0.6","","2.9","","15.1","","0.0","","","","","","0.8","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-21","2020","04","21","","7.8","","-0.9","","3.4","","14.6","","0.0","","","","","","0.8","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-22","2020","04","22","","6.6","","-1.9","","2.4","","15.6","","0.0","","","","","","1.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-23","2020","04","23","","5.6","","-0.1","","2.8","","15.2","","0.0","","","","","","0.7","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-24","2020","04","24","","10.9","","5.6","","8.3","","9.7","","0.0","","","","","","0.6","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-25","2020","04","25","","12.9","","2.8","","7.8","","10.2","","0.0","","","","","","1.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-26","2020","04","26","","11.7","","6.7","","9.2","","8.8","","0.0","","","","","","0.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-27","2020","04","27","","13.5","","5.3","","9.4","","8.6","","0.0","","","","","","0.6","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2020-04-28","2020","04","28","","11.3","","6.8","","9.1","","8.9","","0.0","","","","","","0.7","","","","","M","","M"
